"37,936,530.26 ",""," 2,764,131 "," 42,000,980 ",""," 37,766,299.32 ",""," 4,234,658.91 ","","","","","","","","",""
"Project Details","Cost Center","Customer PO Number","Customer PO Value","Remaing Balance in PO","Vendor Name","Vendor Name","Cantik PO Date"," Cantik PO Value "," Remaining Bal In PO ","Vendor Invoice Frequency","Vendor Inv Number","Vendor Inv Date"," Vendor Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Payble ","Payment Status from NTT"," Payment Value ","Payment Date"," Pending Payment ","Remarks","Cantik Invoice No","Cantik Invoice Date"," Cantik Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Receivables ","Payment Recpt Date","Payment Advise No."
"HCIL - MDM - Soti","HCIL PT","4500097799","","","Winnovation Education Services Pvt","CTPL/PO/25-26/039","29-Apr-25"," 245,500.00 ","","","25-26/08","9-May-25"," 245,500.00 "," 289,690.00 "," 4,910 "," 284,780 ","21-May-25"," 289,690 ","28-May-25"," (4,910)","","","","","","","","",""
"HCIL - MDM - Soti","HCIL PT","4500100035","","","Winnovation Education Services Pvt","CTPL/PO/24-25/454","20-Mar-25"," 50,000.00 ","","","25-26/10","21-May-25"," 50,000.00 "," 59,000.00 "," 1,000 "," 58,000 ","13-Aug-25","",""," 58,000 ","4494/- Need to hold against short PT Margin","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500092808","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," 3,053,531.00 ","","","SEA/K0817/24-25","4-Nov-24"," 282,917.00 "," 333,842.00 "," 5,658 "," 328,184 ","#N/A","328184","20-Dec-24"," (0)","","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500092808","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," -   ","","","SEA/K1407/24-25","28-Mar-25"," 229,642.00 "," 270,978.00 "," 4,593 "," 266,385 ","#N/A","266385","12-May-25"," 0 ","","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500092930","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," -   ","","","SEA/K1407/24-25","28-Mar-25"," 12,858.00 "," 15,172.00 "," 257 "," 14,915 ","#N/A","14915","12-May-25"," (0)","","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500097527","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," -   ","","","SEA/K0002/24-25","1-Apr-25"," 1,050,268.00 "," 1,239,316.00 "," 21,005 "," 1,218,311 ","#N/A","1218311","1-May-25"," (0)","","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091403","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1403","-"," 197,838.00 ","","","G144/2024-25","11-Sep-24"," 150,357.00 "," 177,421.00 "," 15,036 "," 162,385 ","9-Oct-24","162,386","7-Nov-24"," (1)","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091403","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1403","-"," - ","","","G145/2024-25","11-Sep-24"," 47,481.00 "," 56,028.00 "," 4,748 "," 51,280 ","9-Oct-24","51,279","7-Nov-24"," 1 ","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091408","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1408","-"," 637,038.00 ","","","G146/2024-25","11-Sep-24"," 118,703.00 "," 140,070.00 "," 11,870 "," 128,200 ","9-Oct-24","128,199","7-Nov-24"," 1 ","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091408","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1408","-"," - ","","","G147/2024-25","11-Sep-24"," 94,962.00 "," 112,055.00 "," 9,496 "," 102,559 ","9-Oct-24","102,559","7-Nov-24"," (0)","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091408","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1408","-"," - ","","","G149/2024-25","11-Sep-24"," 98,919.00 "," 116,724.00 "," 9,892 "," 106,832 ","9-Oct-24","106,833","7-Nov-24"," (1)","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091408","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1408","-"," - ","","","G148/2024-25","11-Sep-24"," 98,919.00 "," 116,724.00 "," 9,892 "," 106,832 ","9-Oct-24","106,833","7-Nov-24"," (1)","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091408","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1408","-"," - ","","","G150/2024-25","11-Sep-24"," 94,962.00 "," 112,055.00 "," 9,496 "," 102,559 ","9-Oct-24","102,559","7-Nov-24"," (0)","No PO Issue to Vendor","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500091408","","","AUROPRO SOFT SYSTEMS PVT LTD","Without PO-1408","-"," - ","","","G151/2024-25","11-Sep-24"," 130,573.00 "," 154,076.00 "," 13,057 "," 141,019 ","9-Oct-24","141,019","7-Nov-24"," (0)","No PO Issue to Vendor","","","","","","","",""
"","","","","","BUSYBOTS PRIVATE LIMITED","","","","","","Opening balance 1 Apr 24","",""," -   ",""," -   "," Recd. "," 411,480.00 ","18 Apr & 3 May"," (411,480)","","","","","","","","",""
"","GGN-NTT-BMW-RPA- PT 01","4500087051","","","BUSYBOTS PRIVATE LIMITED","","","","","","08/2024","25-Apr-24"," 507,000.00 "," 598,260.00 "," 50,700 "," 547,560 "," Recd. "," 547,560.00 ","3-May-24"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500089409","","","BUSYBOTS PRIVATE LIMITED","","","","","","15/2024","28-Jun-24"," 500,000.00 "," 590,000.00 "," 50,000 "," 540,000 "," Recd. "," 540,000.00 ","29-Jul-24"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500093384","","","BUSYBOTS PRIVATE LIMITED","","","","","","26/2024","15-Nov-24"," 600,000.00 "," 708,000.00 "," 60,000 "," 648,000 "," Recd. "," 648,000.00 ","1-Feb-25"," -   ","","","","","","","","",""
"","GGN-NTT-BMW-RPA- PT 01","4500094223","","","BUSYBOTS PRIVATE LIMITED","","","","","","29/2024","18-Jan-25"," 600,000.00 "," 708,000.00 "," 60,000 "," 648,000 "," Recd. "," 648,000.00 ","1 Feb & 30 Jun"," -   ","","","","","","","","",""
"","GGN-NTT-HMSI-RPA-PT-01","4500097505","","","BUSYBOTS PRIVATE LIMITED","","","","","","42/2024","19-Mar-25"," 600,000.00 "," 708,000.00 "," 60,000 "," 648,000 "," Recd. "," 648,000.00 ","25-Apr-25"," -   ","","","","","","","","",""
